,ProductID,ProductWeight,Fat_Content,PackingVisibility,ProductCategory,MRP,Outlet-ID,Outlet_started_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,156,285,1,664,4,5592,9,4,2.0,0,1,2540
1,8,58,2,880,14,473,3,8,2.0,2,2,422
2,662,376,1,715,10,2901,9,4,2.0,0,1,1639
3,1121,393,2,0,6,4227,0,3,1.61,2,0,670
4,1297,266,1,0,9,627,1,1,1.0,2,1,865
5,758,298,2,0,0,563,3,8,2.0,2,2,523
6,696,334,2,395,13,744,1,1,1.0,2,1,332
7,738,0,1,6771,13,2009,5,0,2.0,2,3,2658
8,440,363,2,707,5,1638,7,5,1.61,1,1,930
9,990,393,2,5781,5,4420,2,7,1.61,1,1,2911
10,1171,315,1,0,6,381,9,4,2.0,0,1,1246
11,147,386,2,3164,4,2992,8,2,3.0,0,1,1696
12,1142,350,2,5987,6,3039,9,4,2.0,0,1,1299
13,904,377,2,3299,13,2413,8,2,3.0,0,1,1671
14,375,365,1,4551,6,4702,1,1,1.0,2,1,1552
15,767,273,2,4585,2,704,8,2,3.0,0,1,1266
16,1280,315,1,130,8,2279,3,8,2.0,2,2,1322
17,767,273,2,4591,2,638,9,4,2.0,0,1,660
18,79,0,1,2207,7,2208,5,0,2.0,2,3,1765
19,968,331,1,6056,4,5244,6,6,3.0,1,1,2030
20,666,390,2,7017,13,5607,1,1,1.0,2,1,2558
21,1076,0,2,2326,0,3005,5,0,2.0,2,3,2672
22,1278,343,1,1420,9,4705,6,6,3.0,1,1,1297
23,259,0,1,3958,0,2006,4,0,3.0,0,0,207
24,843,336,2,1449,5,3685,8,2,3.0,0,1,2678
25,1294,327,1,5983,9,392,2,7,1.61,1,1,753
26,1024,185,2,4470,13,281,6,6,3.0,1,1,922
27,101,314,3,884,7,178,1,1,1.0,2,1,300
28,350,59,2,7416,4,380,0,3,1.61,2,0,165
29,244,0,2,4745,3,322,4,0,3.0,0,0,100
30,1048,394,1,7528,4,681,0,3,1.61,2,0,144
31,1480,387,1,5229,8,1623,3,8,2.0,2,2,2026
32,756,388,1,0,13,5736,3,8,2.0,2,2,2212
33,706,380,1,0,1,1508,7,5,1.61,1,1,1687
34,64,376,1,5910,14,3973,8,2,3.0,0,1,1630
35,1533,294,1,5568,8,3088,9,4,2.0,0,1,2564
36,1032,0,2,4071,6,2710,5,0,2.0,2,3,2058
37,143,260,2,6369,14,2531,3,8,2.0,2,2,1314
38,1124,0,2,6668,13,110,5,0,2.0,2,3,374
